"tmin","year"
15.4741008009024,1925
19.7643785356415,1926
14.2046706122842,1927
16.779083702673,1928
17.3664491790008,1929
15.0934354885959,1930
17.0138093687814,1931
13.4523165280057,1932
12.5856613309863,1933
16.8990678849003,1934
15.3446003705332,1935
16.2373116817203,1936
16.5710999612245,1937
17.0737486181745,1938
15.6598970809493,1939
17.4606607050506,1940
16.6715195981568,1941
17.0891067143933,1942
19.0925752805223,1943
18.5657899554356,1944
17.0656545671122,1945
15.8835438643762,1946
17.9685843570539,1947
14.2095660138814,1948
14.7280889725796,1949
13.4621313698832,1950
13.984829196936,1951
16.1140377496578,1952
16.3462701385309,1953
14.9259643630105,1954
14.2273686050011,1955
13.4836893815976,1956
17.9824962069605,1957
17.2132467250649,1958
15.7680786590692,1959
17.992237660723,1960
15.5247250118724,1961
17.6290573651319,1962
18.0765603096218,1963
14.9703873876278,1964
15.0369820793999,1965
14.198289117608,1966
16.9240826577782,1967
16.1277718181669,1968
16.4650118075569,1969
17.2766377072774,1970
13.9053013586385,1971
12.2940286722931,1972
14.5946668086714,1973
15.440225224063,1974
13.6872174330901,1975
17.6737865825896,1976
18.6080417459434,1977
18.4948363648408,1978
16.9916535277333,1979
17.6983471010265,1980
20.7425038043629,1981
15.1439552927961,1982
17.7210381642795,1983
18.0186511910805,1984
17.2661845046763,1985
18.5621541560404,1986
20.6889137515294,1987
19.2175504079195,1988
17.1470759135781,1989
16.298681992368,1990
18.3829962058347,1991
17.5167636048587,1992
20.2290913061419,1993
17.0287992284354,1994
17.3902347002923,1995
13.5781678593244,1996
17.8149934692319,1997
16.6834563387532,1998
15.3828114601486,1999
18.9410740175081,2000
17.6901600698664,2001
18.3210223576866,2002
17.5082697257357,2003
17.8861197815433,2004
19.4085210838422,2005
15.477909336433,2006
16.9346819899253,2007
15.8837868084538,2008
16.7219957704754,2009
17.9126181028561,2010
17.2941727133257,2011
14.2630984751043,2012
18.0508819061045,2013
18.0341661727781,2014
19.3954613938687,2015
19.9276001585148,2016
17.6406043892149,2017
18.625430621889,2018
20.8019116328684,2019
16.4787832091848,2020
